name,online_order,book_table,rate,votes,location,rest_type,cuisines,price
Havyaka Mess,0,0,3.9,28,Banashankari,Casual Dining,South Indian,300
McDonald's,1,0,3.9,286,Banashankari,Quick Bites,Fast Food,500
Domino's Pizza,1,0,3.9,540,Banashankari,Quick Bites,Fast Food,800
Hotboxit,0,0,3.8,36,Banashankari,Delivery/Takeaway,North Indian,400
Kitchen Garden,1,0,3.6,244,Kumaraswamy Layout,Quick Bites,North Indian,300
Recipe,1,0,4.0,804,Kumaraswamy Layout,Casual Dining,North Indian,450
Beijing Bites,1,0,3.7,679,Rajarajeshwari Nagar,Casual Dining,Asian,850
Tasty Bytes,1,0,3.1,245,Kumaraswamy Layout,Quick Bites,North Indian,300
Petoo,0,0,3.7,21,Banashankari,Quick Bites,North Indian,450
Shree Cool Point,1,0,4.1,28,Vijay Nagar,Quick Bites,Fast Food,150
Corner House Ice Cream,0,0,4.3,345,Banashankari,Dessert,Cafe,400
Biryanis And More,1,0,4.0,618,Jayanagar,Casual Dining,South Indian,750
Roving Feast,0,0,4.0,1047,Banashankari,Quick Bites,Continental,450
FreshMenu,1,0,3.9,627,Banashankari,Delivery/Takeaway,South Indian,450
Banashankari Donne Biriyani,1,0,3.8,104,Banashankari,Quick Bites,South Indian,300
Wamama,1,1,4.2,354,Banashankari,Casual Dining,Asian,800
Five Star Chicken,0,0,3.6,55,Banashankari,Quick Bites,Fast Food,200
XO Belgian Waffle,1,0,3.7,17,Banashankari,Dessert,Cafe,400
Peppy Peppers,0,0,4.2,244,Banashankari,Casual Dining,Continental,800
Goa 0 Km,1,1,3.6,163,Kumaraswamy Layout,Casual Dining,West Indian,800
Chinese Kitchen,1,0,3.8,58,Basavanagudi,Quick Bites,Asian,150
1947,0,1,4.0,808,Banashankari,Casual Dining,North Indian,850
Cake of the Day,0,0,3.7,78,Banashankari,Quick Bites,Fast Food,150
Kabab Magic,1,0,4.1,1720,Basavanagudi,Quick Bites,North Indian,400
Namma Brahmin's Idli,1,0,3.6,34,Jayanagar,Quick Bites,South Indian,100
Gustoes Beer House,0,0,4.1,868,Banashankari,Bar,Continental,1200
Sugar Rush,0,0,3.8,39,Banashankari,Quick Bites,Fast Food,300
Burger King,1,0,3.2,71,Basavanagudi,Quick Bites,Fast Food,600
The Good Bowl,1,0,3.6,6,Banashankari,Delivery/Takeaway,Continental,500
The Biryani Cafe,0,0,4.1,520,Banashankari,Quick Bites,South Indian,300
Spicy Tandoor,0,0,0.0,0,Banashankari,Quick Bites,North Indian,150
LSD Cafe,0,0,2.9,84,Banashankari,Delivery/Takeaway,Asian,700
Rolls On Wheels,0,0,3.6,299,Banashankari,Quick Bites,Fast Food,300
Om Sri Vinayaka Chats,0,0,0.0,0,Banashankari,Delivery/Takeaway,Fast Food,500
Sri Guru Kottureshwara Davangere Benne Dosa,1,0,4.1,558,Basavanagudi,Quick Bites,South Indian,150
Devanna Dum Biriyani Centre,1,0,3.6,28,Banashankari,Quick Bites,South Indian,300
Kolbeh,0,0,3.7,22,Banashankari,Quick Bites,Fast Food,500
Upahar Sagar,0,0,3.8,39,Banashankari,Quick Bites,South Indian,350
Kadalu Sea Food Restaurant,1,0,3.8,153,Vijay Nagar,Casual Dining,Seafood,500
Frozen Bottle,1,0,4.2,146,Banashankari,Quick Bites,Beverages,400
Parimala Sweets,0,0,3.5,14,Banashankari,Dessert,East Indian,200
Vaishali Deluxe,0,0,3.8,42,Banashankari,Casual Dining,North Indian,700
Chill Out,0,0,0.0,0,Banashankari,Quick Bites,South Indian,100
The Big O Bakes,0,0,4.0,66,Banashankari,Quick Bites,Fast Food,300
Meghana Foods,1,0,4.4,4401,Jayanagar,Casual Dining,South Indian,600
Krishna Sagar,0,0,3.5,31,Banashankari,Quick Bites,North Indian,200
Dessert Rose,0,0,3.5,7,Banashankari,Dessert,Cafe,500
Chickpet Donne Biryani House,0,0,3.7,21,Banashankari,Quick Bites,South Indian,250
Me And My Cake,0,0,0.0,0,Banashankari,Delivery/Takeaway,Fast Food,500
Sunsadm,0,0,0.0,0,Banashankari,Delivery/Takeaway,South Indian,400
Annapooraneshwari Mess,0,0,0.0,0,Banashankari,Casual Dining,South Indian,200
Thanco's Natural Ice Creams,0,0,3.2,9,Banashankari,Dessert,Cafe,300
Nandhini Deluxe,0,0,2.6,283,Banashankari,Casual Dining,North Indian,600
Vi Ra's Bar and Restaurant,0,0,3.3,62,Banashankari,Bar,South Indian,800
Kaggis,0,0,3.8,64,Banashankari,Quick Bites,Fast Food,250
Ayda Persian Kitchen,0,0,3.7,39,Banashankari,Casual Dining,North Indian,950
Chatar Patar,0,0,3.7,65,Banashankari,Quick Bites,Fast Food,300
Polar Bear,1,0,3.8,71,Basavanagudi,Dessert,Cafe,400
Kidambi's Kitchen,0,0,3.5,52,Banashankari,Quick Bites,South Indian,300
Mane Thindi,0,0,3.7,130,Banashankari,Quick Bites,South Indian,200
Kotian Karavali Restaurant,0,0,3.5,10,Banashankari,Quick Bites,South Indian,300
Floured-Baked With Love,0,0,3.8,45,Banashankari,Delivery/Takeaway,Fast Food,400
Cakes & Slices,0,0,3.5,13,Banashankari,Quick Bites,Fast Food,300
Spice 9,0,0,3.4,8,Banashankari,Quick Bites,South Indian,300
Coffee Shopee,0,0,0.0,0,Banashankari,Delivery/Takeaway,Beverages,250
Naveen Kabab & Biriyani Mane,0,0,3.2,9,Banashankari,Quick Bites,South Indian,300
Katriguppe Donne Biryani,0,0,3.2,4,Banashankari,Quick Bites,North Indian,300
Hari Super Sandwich,0,0,0.0,0,Banashankari,Delivery/Takeaway,Fast Food,200
Atithi Point Ande Ka Funda,0,0,3.1,29,Banashankari,Quick Bites,North Indian,150
Just Bake,0,0,3.4,8,Banashankari,Quick Bites,Fast Food,400
Dharwad Line Bazaar Mishra Pedha,0,0,0.0,0,Banashankari,Dessert,East Indian,150
Cake Bite,0,0,0.0,0,Banashankari,Quick Bites,Fast Food,300
Aarush's Food Plaza,0,0,0.0,0,Banashankari,Quick Bites,North Indian,200
Wood Stove,0,0,0.0,0,Banashankari,Delivery/Takeaway,South Indian,150
Kulfi & More,0,0,0.0,0,Banashankari,Dessert,Cafe,150
Kannadigas Karavali,0,0,0.0,0,Banashankari,Quick Bites,South Indian,250
K27 - The Pub,0,0,3.1,30,Banashankari,Bar,Asian,1000
Bengaluru Coffee House,1,0,4.1,201,Banashankari,Quick Bites,South Indian,300
New Mangalore Lunch Home,0,0,3.3,7,Banashankari,Quick Bites,South Indian,200
Coffee Bytes,0,0,3.1,6,Banashankari,Quick Bites,Fast Food,100
Parjanya Chat Zone,0,0,3.3,17,Banashankari,Quick Bites,Fast Food,200
Kwality Wall's Swirl's Happiness Station,0,0,2.9,25,Banashankari,Dessert,Cafe,200
Soms Kitchen & Bakes,0,0,0.0,0,Banashankari,Delivery/Takeaway,South Indian,400
Banashankari Nati Style,0,0,0.0,0,Banashankari,Quick Bites,South Indian,350
Ruchi Maayaka,0,0,3.3,8,Banashankari,Delivery/Takeaway,South Indian,100
Mohitesh Hut Roll,0,0,0.0,0,Banashankari,Quick Bites,Fast Food,150
Sri Basaveshwar Jolada Rotti Oota,0,0,0.0,0,Banashankari,Quick Bites,South Indian,150
Roll Magic Fast Food,0,0,0.0,0,Banashankari,Delivery/Takeaway,South Indian,200
Foodlieious Multi Cuisine,0,0,0.0,0,Banashankari,Quick Bites,North Indian,100
Thanishka Nati And Karavali Style,0,0,0.0,0,Banashankari,Quick Bites,South Indian,400
Swathi Cool Point,0,0,0.0,0,Banashankari,Quick Bites,Beverages,200
Kaumudis Juoice,0,0,0.0,0,Banashankari,Quick Bites,Beverages,150
Amma - Manae,0,0,0.0,0,Banashankari,Delivery/Takeaway,South Indian,400
Sri Sai Tiffannies,0,0,0.0,0,Banashankari,Quick Bites,South Indian,150
Hotel Andhra Speices,0,0,0.0,0,Banashankari,Quick Bites,South Indian,250
Sri Murari Family Restaurant,0,0,0.0,0,Banashankari,Quick Bites,South Indian,250
Aramane Donne Biriyani,0,0,0.0,0,Banashankari,Quick Bites,South Indian,150
Darkolates,0,0,0.0,0,Banashankari,Dessert,Cafe,200
Swaada Healthy Kitchen,0,0,0.0,0,Banashankari,Quick Bites,South Indian,350
Gawdaru Mane Beriyani,0,0,0.0,0,Banashankari,Quick Bites,South Indian,300
Melting Melodies,0,0,0.0,0,Banashankari,Delivery/Takeaway,Fast Food,100
New Indraprasta,0,0,0.0,0,Banashankari,Quick Bites,South Indian,150
Anna Kuteera,1,0,4.0,771,Banashankari,Casual Dining,South Indian,450
Darbar,0,0,3.0,98,Banashankari,Bar,North Indian,800
Vijayalakshmi,1,0,3.9,47,Basavanagudi,Quick Bites,South Indian,200
Sri Udupi Food Hub,1,1,4.1,175,Jayanagar,Casual Dining,South Indian,500
Udupi Upahar,1,0,3.8,58,Banashankari,Quick Bites,South Indian,300
House Of Kebabs,1,0,3.8,540,Basavanagudi,Casual Dining,North Indian,650
Roll N Rock,1,0,3.8,124,Kumaraswamy Layout,Quick Bites,Asian,400
BOX8- Desi Meals,1,0,4.1,340,Banashankari,Delivery/Takeaway,North Indian,500
KFC,1,0,3.8,505,Banashankari,Quick Bites,Fast Food,450
Bitez,0,0,0.0,0,Banashankari,Quick Bites,Fast Food,100
Roll Over,1,0,4.1,438,Jayanagar,Dessert,Cafe,500
Imperial Restaurant,1,0,3.7,264,Mysore Road,Casual Dining,North Indian,750
Lassi Shop,1,0,3.9,169,Kumaraswamy Layout,Quick Bites,Beverages,150
The Fortuna,1,0,3.0,67,Kumaraswamy Layout,Quick Bites,North Indian,250
Wahab,1,0,3.7,97,Jayanagar,Quick Bites,North Indian,350
Al Diwan Biryanis And More,1,0,3.3,12,Basavanagudi,Delivery/Takeaway,South Indian,300
New Gowda's Fried Chicken,1,0,3.3,12,Banashankari,Quick Bites,South Indian,300
Canton,1,0,3.6,195,Jayanagar,Casual Dining,Asian,800
Diabetics Dezire Sugarless Sweets and Bakes,1,0,3.3,13,Basavanagudi,Dessert,Cafe,300
The Blue Wagon - Kitchen,1,0,4.6,228,Jayanagar,Cafe,Cafe,400
HOT COFFEE,1,0,4.1,70,Basavanagudi,Quick Bites,South Indian,150
Patio 805,1,1,4.1,364,Jayanagar,Casual Dining,Asian,1200
Lassi Corner,1,0,3.7,107,Basavanagudi,Quick Bites,Beverages,150
Sagar Deluxe,1,0,3.2,167,Kumaraswamy Layout,Quick Bites,South Indian,300
Kanti Sweets,1,0,4.0,115,Banashankari,Dessert,East Indian,400
Vegetalia,1,0,3.7,27,Banashankari,Delivery/Takeaway,Continental,400
Aramane Donne Biryani,1,0,3.5,57,Banashankari,Quick Bites,South Indian,200
Ande Ka Funda,1,0,3.8,120,Banashankari,Quick Bites,North Indian,250
Cake Ghar,1,0,3.8,15,Basavanagudi,Quick Bites,Fast Food,400
Energy Addaa,1,0,4.2,64,Basavanagudi,Quick Bites,South Indian,500
Bhattara Bhojana,1,0,3.6,66,Banashankari,Quick Bites,South Indian,150
Tandoori Knight,1,0,3.0,290,Banashankari,Quick Bites,North Indian,450
Dev Sagar - Food Street,1,0,4.1,233,Basavanagudi,Quick Bites,Fast Food,200
Mitraa Da Pizza,1,0,3.8,115,Kumaraswamy Layout,Quick Bites,Fast Food,250
Paradise Premium,1,0,3.1,119,Banashankari,Casual Dining,South Indian,700
Grazers,1,1,3.9,291,Jayanagar,Cafe,Cafe,650
Shakes Theory,1,0,4.5,155,Jayanagar,Quick Bites,Beverages,300
@Italy,1,0,4.1,305,Kumaraswamy Layout,Casual Dining,Continental,700
Chilli Flakes,1,0,3.6,46,Banashankari,Quick Bites,Fast Food,500
Calcutta Cafe,1,0,3.5,45,Kumaraswamy Layout,Quick Bites,North Indian,350
Old Mumbai Ice Cream,1,0,3.9,38,Banashankari,Dessert,Cafe,150
Donne Biriyani House,1,0,3.9,441,Banashankari,Quick Bites,South Indian,400
By 2 Coffee,1,0,3.9,25,Basavanagudi,Quick Bites,South Indian,100
Kedia's Fun Food,1,0,4.3,630,Jayanagar,Quick Bites,North Indian,200
Davangere Butter Dosa Hotel,1,0,3.8,25,Kumaraswamy Layout,Quick Bites,South Indian,150
Just Shawarma,1,0,3.9,160,Kumaraswamy Layout,Quick Bites,Continental,300
Mini Punjabi Dhaba,1,0,4.2,287,Banashankari,Quick Bites,North Indian,350
Mulabagilu Dosa,1,0,3.6,11,Basavanagudi,Quick Bites,South Indian,100
Gokul Veg,1,0,3.8,469,Basavanagudi,Casual Dining,North Indian,750
Olive - Era,1,0,3.3,511,Kumaraswamy Layout,Casual Dining,Continental,550
Udupi Ruchi,1,0,3.9,57,Banashankari,Quick Bites,South Indian,200
Madhappa Hindu Military Hotel,1,0,3.4,14,Banashankari,Quick Bites,South Indian,300
Gama Gama,1,0,3.9,264,Banashankari,Quick Bites,South Indian,200
Pizza Hut,1,0,3.8,693,Banashankari,Casual Dining,Fast Food,750
Mangalore Pearl,1,0,3.8,242,Jayanagar,Casual Dining,South Indian,650
Asha Sweets Centre,1,0,3.6,27,Basavanagudi,Dessert,Fast Food,250
Twiststick House,1,0,4.1,163,Basavanagudi,Quick Bites,Continental,500
Cool Corner,1,0,4.2,191,Basavanagudi,Quick Bites,Fast Food,250
Pizza Mane,1,0,3.5,32,Banashankari,Quick Bites,Fast Food,150
Dal Tadkaa,1,0,2.5,247,Banashankari,Casual Dining,North Indian,500
Chutney Chang,1,1,4.1,2339,Jayanagar,Casual Dining,North Indian,1500
Mystique Palate,1,0,4.1,337,Jayanagar,Quick Bites,Asian,300
Thamboola,1,0,3.9,135,Banashankari,Casual Dining,North Indian,800
Castle Rock,1,0,3.6,172,Uttarahalli,Casual Dining,North Indian,700
Vietnamese Kitchen,1,0,3.6,105,Banashankari,Casual Dining,Asian,700
C Corner,1,0,3.2,36,Kumaraswamy Layout,Quick Bites,Fast Food,200
Paratha Merchant,1,0,3.1,39,Kumaraswamy Layout,Quick Bites,North Indian,300
North Rasoe,1,0,3.1,5,Kumaraswamy Layout,Casual Dining,North Indian,500
Inchara Restaurant,1,0,0.0,0,Basavanagudi,Quick Bites,North Indian,300
Toscano,1,1,4.3,1129,Jayanagar,Casual Dining,Continental,1300
Lord Of The Kitchen,1,0,3.9,56,Kumaraswamy Layout,Quick Bites,North Indian,350
Stoned Monkey,1,0,4.3,860,Banashankari,Dessert,Cafe,500
Central Jail Restaurant,1,0,3.8,412,Jayanagar,Casual Dining,South Indian,700
Bella,1,1,3.9,142,Jayanagar,Casual Dining,South Indian,1000
Vennela Andhra Meals,1,0,3.0,23,Jayanagar,Quick Bites,South Indian,400
New Prashanth Hotel,1,0,3.6,143,Jayanagar,Casual Dining,South Indian,750
The Grillo,1,1,2.8,80,Jayanagar,Casual Dining,South Indian,500
Re Malnad Nati Style Hotel,1,0,3.6,16,JP Nagar,Casual Dining,South Indian,400
Karma Kaapi,1,0,4.4,181,Jayanagar,Quick Bites,Beverages,250
Tiwari's,1,0,3.8,70,Jayanagar,Quick Bites,North Indian,200
Pizza Stop,1,0,3.8,164,Basavanagudi,Quick Bites,Fast Food,600
Biggies Burger 'n' More,1,0,3.6,58,Kumaraswamy Layout,Quick Bites,Cafe,650
Kollapuri's,0,0,3.9,206,Basavanagudi,Quick Bites,South Indian,450
Sugar Stars Co,0,0,0.0,0,Basavanagudi,Quick Bites,Fast Food,300
Bombay Kulfis,0,0,0.0,0,JP Nagar,Dessert,Cafe,200
Kadamba Classic,0,0,3.6,16,Mysore Road,Quick Bites,South Indian,300
RS Shiv Sagar,0,0,3.7,217,Basavanagudi,Casual Dining,North Indian,450
Kholi Mane,0,0,3.6,46,Basavanagudi,Quick Bites,South Indian,450
Harshi Super Sandwich,0,0,3.8,148,Basavanagudi,Quick Bites,Fast Food,150
Cake Yard,0,0,3.4,30,Basavanagudi,Dessert,Cafe,250
Sri Udupi Veg,0,0,3.3,4,Jayanagar,Quick Bites,South Indian,250
Cake Art,0,0,3.5,15,Basavanagudi,Quick Bites,Fast Food,400
Aahar Cafe,0,0,0.0,0,Basavanagudi,Quick Bites,South Indian,100
Akash Gowdru Biryani Center,0,0,0.0,0,Uttarahalli,Quick Bites,North Indian,300
New Sri Udupi Restaurant,0,0,0.0,0,Jayanagar,Quick Bites,North Indian,200
Potato House,1,0,3.4,9,Uttarahalli,Quick Bites,Fast Food,200
Hotel Biriyani Counter,0,0,0.0,0,Vijay Nagar,Quick Bites,North Indian,350
Matru Sagar,1,0,3.7,31,Mysore Road,Quick Bites,South Indian,300
Ugadi,1,0,2.9,177,Jayanagar,Casual Dining,North Indian,700
Sri Krishna Sweets,1,0,3.7,22,Basavanagudi,Dessert,East Indian,250
In Time Cane Juice,1,0,3.5,10,Kumaraswamy Layout,Quick Bites,Cafe,100
Subway,1,0,3.7,136,Banashankari,Quick Bites,South Indian,600
Daal Roti,1,0,2.9,35,Kumaraswamy Layout,Quick Bites,North Indian,250
The Lassi Park,1,0,4.1,185,Jayanagar,Quick Bites,Cafe,200
Cafe Coffee Day,1,0,3.2,17,Jayanagar,Cafe,Cafe,900
A2B - Adyar Ananda Bhavan,1,0,3.8,155,Mysore Road,Casual Dining,South Indian,400
Srikrishna Bhavan,1,0,3.8,42,Banashankari,Quick Bites,South Indian,300
Green Gardenia,1,0,3.8,160,Banashankari,Casual Dining,North Indian,700
J Spice,1,0,3.8,59,Banashankari,Casual Dining,North Indian,750
Karavali Family Restaurant,1,0,3.5,90,Jayanagar,Casual Dining,Seafood,500
Karavali Lunch Home,1,0,3.7,51,Kumaraswamy Layout,Quick Bites,South Indian,350
Hatti Kaapi,1,0,4.0,89,Jayanagar,Quick Bites,South Indian,200
Kolkata Kathi Roll's,1,0,3.6,18,Banashankari,Quick Bites,Fast Food,250
Upahara Darshini,1,0,3.9,40,Basavanagudi,Casual Dining,North Indian,600
The Chaat Shop,1,0,2.5,35,Basavanagudi,Quick Bites,Fast Food,200
Anda Ka Funda,1,0,3.4,89,Jayanagar,Quick Bites,North Indian,250
Shri Vinayaka Ice N Juice,1,0,3.2,11,Basavanagudi,Quick Bites,Beverages,150
Ibaco,1,0,3.9,33,Jayanagar,Dessert,Cafe,300
Jalaram Sweets,1,0,3.8,32,Jayanagar,Dessert,Cafe,250
Samskruti - Sanman Gardenia,1,0,4.1,139,Jayanagar,Casual Dining,North Indian,550
Bendakaluru Bytes,1,0,3.2,154,Vijay Nagar,Quick Bites,Fast Food,300
Cocoa Bakes,1,0,3.6,14,Banashankari,Quick Bites,Fast Food,350
Chumma Delicious,1,0,3.7,237,Banashankari,Quick Bites,South Indian,200
New Prashanth Hotel,1,0,3.9,388,Banashankari,Casual Dining,South Indian,650
SSV Upahar,1,0,0.0,0,Jayanagar,Quick Bites,South Indian,300
Dwaraka Grand,1,0,3.9,128,Kumaraswamy Layout,Casual Dining,South Indian,500
Gufha - The President Hotel,1,1,4.1,1875,Jayanagar,Casual Dining,North Indian,1200
Tanna's Kitchen,1,0,3.1,7,Kumaraswamy Layout,Quick Bites,Continental,250
Shree Mandarathi Grand,1,0,3.7,38,Uttarahalli,Casual Dining,South Indian,400
Mojo Pizza - 2X Toppings,1,0,4.2,179,Banashankari,Delivery/Takeaway,Fast Food,600
Iceberg Icecreams,1,0,4.0,43,Basavanagudi,Dessert,Cafe,250
South Kitchen,1,0,4.3,275,Basavanagudi,Quick Bites,South Indian,100
Chung Wah,1,0,3.7,323,Jayanagar,Casual Dining,Asian,850
Shanthi Sagar,1,0,3.1,28,Uttarahalli,Casual Dining,South Indian,400
Millet Mama,1,0,3.9,18,Basavanagudi,Quick Bites,South Indian,200
Bangarpet Chat Express,1,0,3.3,6,Basavanagudi,Quick Bites,Fast Food,100
South Cool Point,1,0,0.0,0,Basavanagudi,Dessert,Beverages,100
Prems Graama Bhojanam,1,0,4.3,322,Jayanagar,Casual Dining,South Indian,400
Java City,1,0,2.6,157,Jayanagar,Cafe,Cafe,450
Kamat Bugle Rock,1,0,3.9,543,Basavanagudi,Quick Bites,South Indian,300
Puliyogare Point,1,0,4.2,444,Basavanagudi,Quick Bites,South Indian,100
Bangalore Agarwal Bhavan,1,0,3.9,134,Jayanagar,Quick Bites,Fast Food,400
Rustic Stove,1,0,3.8,577,Jayanagar,Casual Dining,North Indian,900
Udupi Ruchi Grand,1,0,4.2,60,Banashankari,Quick Bites,South Indian,200
De Thaali,1,0,3.9,144,Jayanagar,Casual Dining,North Indian,550
Just Thindi,1,0,3.6,16,Basavanagudi,Quick Bites,South Indian,200
Matru Sagar,1,0,3.6,84,Banashankari,Quick Bites,South Indian,250
Vasanth Vihar - Since 1965,1,0,3.6,95,Banashankari,Quick Bites,South Indian,150
Sea Spice by 7 Star,1,1,4.0,349,Banashankari,Casual Dining,Seafood,1200
Desi Dawat,1,0,3.7,248,Kumaraswamy Layout,Quick Bites,North Indian,400
Cafe Aira,1,0,4.1,216,Basavanagudi,Cafe,Cafe,500
Donne Biriyani combos,1,0,0.0,0,Kumaraswamy Layout,Casual Dining,South Indian,400
Mast Punjabi,1,0,2.6,231,Kumaraswamy Layout,Quick Bites,North Indian,400
South Grand,1,0,3.4,102,Uttarahalli,Casual Dining,South Indian,400
The Pizzeria,1,0,2.8,45,Banashankari,Casual Dining,Fast Food,800
Cafe Zone,1,0,3.9,149,Kumaraswamy Layout,Quick Bites,Fast Food,300
Ruchis Point,1,0,3.8,75,Banashankari,Quick Bites,Fast Food,200
Firangi Bake,1,0,4.0,53,Rajarajeshwari Nagar,Delivery/Takeaway,Continental,600
The Royal Corner - Pai Viceroy,1,1,4.2,815,Jayanagar,Casual Dining,North Indian,900
Hara Fine Dine,1,1,4.0,633,Banashankari,Casual Dining,North Indian,800
Chocoberry,1,0,3.5,56,Jayanagar,Dessert,Cafe,400
Dakshin Grand,1,0,3.0,82,Banashankari,Quick Bites,South Indian,300
Sandwichwallas,1,0,3.7,35,Jayanagar,Quick Bites,Fast Food,200
Chai Mane,1,0,3.6,20,Basavanagudi,Quick Bites,Cafe,150
SLV Upachar,1,0,3.1,14,Kumaraswamy Layout,Quick Bites,South Indian,250
Waffle-A-Go Go,1,0,3.9,70,Banashankari,Dessert,Fast Food,400
Cross Road Cafe,1,0,3.9,91,Jayanagar,Cafe,Cafe,300
Anand Donne Biriyani,1,0,3.6,45,Jayanagar,Quick Bites,South Indian,200
Seven Star,1,0,3.4,7,Banashankari,Quick Bites,North Indian,250
Stop 'N' Joy,1,0,3.8,28,Banashankari,Quick Bites,Fast Food,150
Sri Yaksha Shiv Sagar,1,0,3.6,24,Banashankari,Casual Dining,North Indian,600
Fudge,1,0,3.8,36,Basavanagudi,Dessert,Cafe,200
Just Bunny,1,0,3.5,11,Jayanagar,Quick Bites,Fast Food,200
Bakers Town,1,0,3.8,77,Kumaraswamy Layout,Cafe,Cafe,650
Shree Mahalakshmi Sweets,1,0,3.2,8,Banashankari,Dessert,East Indian,100
Kaapi Kendra,1,0,3.7,14,Jayanagar,Quick Bites,South Indian,100
Ivy,1,0,3.8,210,Kumaraswamy Layout,Casual Dining,North Indian,600
The Airos,1,0,4.1,130,Jayanagar,Cafe,Cafe,650
Chai Kraft,1,0,4.1,30,Jayanagar,Quick Bites,Beverages,100
South Point Pub,1,0,3.4,11,Basavanagudi,Bar,North Indian,800
The Trundle,1,0,3.7,133,Jayanagar,Casual Dining,Asian,700
The Krishna Grand Xpress,1,0,4.0,136,Jayanagar,Quick Bites,South Indian,350
Sri Krishna Darshini,1,0,3.1,4,Basavanagudi,Quick Bites,South Indian,200
Shringar Sweets & Snacks,1,0,3.5,11,Basavanagudi,Dessert,East Indian,200
Udupi Grand,1,0,3.8,74,Basavanagudi,Quick Bites,South Indian,300
Ganesh Grand,1,0,3.7,30,Basavanagudi,Quick Bites,South Indian,300
Shreyas Upahar & Burger Point,1,0,3.0,7,Basavanagudi,Quick Bites,South Indian,200
Little Cafe,1,0,3.7,54,Basavanagudi,Cafe,Cafe,600
Mumbai Badam Milk & Lassi Center,1,0,3.6,23,Basavanagudi,Quick Bites,Beverages,100
Sri Krishna Sagar,1,0,3.2,119,Banashankari,Casual Dining,North Indian,400
Mylari Biryani Family Restaurant,1,0,3.7,73,Banashankari,Quick Bites,South Indian,400
1980s Games Cafe,1,0,3.4,58,Basavanagudi,Cafe,Cafe,400
Kadala Tarangaa,1,0,3.6,129,Banashankari,Casual Dining,South Indian,600
Namma Biryani,1,0,3.6,24,Banashankari,Quick Bites,South Indian,250
Nandhanu's Rasoi,1,0,3.0,175,Kumaraswamy Layout,Quick Bites,Asian,400
